track_name,artist,album,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Drugs,Uffie,Tokyo Love Hotel,5TLcClDDNCHAnVbETHqpeA,0.43,0.605,0.55,4,-6.466,1,0.183,0.47,0.00366,0.116,0.153,89.965,173112,4
La vita nuova - Logic1000 Remix,Christine and the Queens,La vita nuova (Remixes),6sURzJ8dFukg7OpT5276mZ,0.39,0.787,0.518,2,-10.201,1,0.0478,0.013,0.864,0.108,0.202,120.982,225627,4
el cielo no es de nadie - Edit,Ela Minus,el cielo no es de nadie,1pY4lWKYXLGqcSql0CzDuy,0.45,0.752,0.73,1,-8.461,1,0.0423,0.000574,0.83,0.151,0.452,127.985,221954,4
Como Eran Las Cosas,Babasónicos,Mucho,61qPUnazSdkvua4wgA4L8C,0.62,0.696,0.445,1,-9.114,1,0.0316,0.463,1.72e-05,0.0918,0.591,94.984,240520,4
Narcissus Is Back,Christine and the Queens,Chaleur Humaine,7yUzBfgSK6zO0qGkj6SnQ4,0.42,0.773,0.699,2,-7.117,1,0.0309,0.397,0.000275,0.129,0.385,118.073,208821,4
Jmy attendais pas,Clea Vincent,Retiens mon désir,7mbjbYsq0gFOD6qm9oOlVT,0.42,0.766,0.687,6,-7.624,0,0.0401,0.313,0.000179,0.0991,0.633,120.068,245400,4
Fiesta,Bomba Estéreo,Amanecer,6lMlMXL2Wk4xT2U1D09iLm,0.43,0.646,0.865,11,-4.204,0,0.0732,0.00897,0.278,0.444,0.298,123.053,219040,4
La vita nuova - Planningtorock's Queered Version,Christine and the Queens,La vita nuova (Remixes),2dNVxqx9FuSj2d9h5y2PCw,0.38,0.885,0.797,9,-6.821,0,0.0427,0.0397,0.473,0.111,0.896,120.005,298531,4
Paradis Perdus,Christine and the Queens,Christine and the Queens,7tVQihtECJIEpQX0osLRwo,0.32,0.569,0.359,11,-11.224,0,0.0484,0.387,0.0433,0.096,0.509,179.93,215610,4
Et le blizzard s'estompe,The Rebels Of Tijuana,Asile,0B7kiIsbMI0l1KIwqueOpt,0.41,0.511,0.68,9,-6.022,1,0.0264,0.348,0.00304,0.386,0.724,144.47,478727,4
Nanã,Polo & Pan,Caravelle (Deluxe),77nbIFtn6K7TEQKl8FVO5H,0.38,0.687,0.74,4,-6.305,0,0.0335,0.187,0.0792,0.24,0.381,94.01,190867,3
Parfait Tirage,Paradis,Parfait Tirage b/w La Ballade de Jim,32vHO1tFOy1lzqn7VUMefO,0.4,0.77,0.479,9,-13.91,0,0.0641,0.646,0.875,0.116,0.633,120.018,408602,4
Amanecer,Bomba Estéreo,Amanecer,5KLuaDgxoSzzBHt8RF0qz7,0.43,0.722,0.891,6,-4.19,0,0.106,0.0128,0.122,0.061,0.49,124.033,248773,4
Menu du jour,Yelle,L'Ère du Verseau,5BBl1omt68Jn2V5w8MYvcM,0.4,0.746,0.536,6,-7.118,0,0.0615,0.0528,0.231,0.157,0.69,119.985,179686,4
Château perdu,Clea Vincent,Château perdu,7vECUbl95GucLg86JxVNvr,0.4,0.687,0.635,0,-8.661,0,0.0426,0.0583,0.000842,0.067,0.339,100.02,270000,4
Il n'y a que toi,The Pirouettes,Il n'y a que toi,4BkcNSVAPdbgbUR1dzdHOx,0.45,0.801,0.811,2,-7.283,0,0.0471,0.348,0.0579,0.123,0.516,105.028,201627,4
Moteur Action (SOPHIE & A. G. Cook remix),Yelle,Complètement Fou (Remix) [EP],5alNDd1XkheweO5fUygqDO,0.35,0.884,0.572,6,-6.705,1,0.136,0.0226,0.354,0.319,0.791,137.018,178059,4
"they told us it was hard, but they were wrong.",Ela Minus,acts of rebellion,1appKZZwq0t8cBeovLBPKi,0.44,0.536,0.648,2,-9.991,0,0.0447,0.0416,0.692,0.11,0.147,129.406,360988,4
A cause des garçons,Yelle,Pop Up,4kti5sAkWBOhPyCVItDYf8,0.39,0.814,0.46,7,-5.293,1,0.0455,0.000501,0.0129,0.0976,0.823,126.016,226253,4
Canopée,Polo & Pan,Caravelle (Deluxe),3DmJ390x0h8IePKoCwArUC,0.39,0.704,0.683,5,-6.585,0,0.0303,0.102,0.0126,0.0891,0.388,96.013,276253,4
Templos,CLUBZ,Destellos,5BRBuj8WoTqSqCvIfEkzYx,0.45,0.634,0.697,0,-6.742,1,0.0555,0.14,0.165,0.0841,0.527,121.027,284187,4
Peine de mort,Yelle,L'Ère du Verseau,6oebDa0KHtEWIOvDf6EvQ0,0.4,0.792,0.855,1,-6.109,1,0.0705,0.201,0.0337,0.0554,0.508,120.002,275822,4
No Harm Is Done (feat. Tunji Ige),Christine and the Queens,Christine and the Queens,2lLBjbwfxyQEb32rwTyxYC,0.31,0.45,0.361,1,-9.493,0,0.0954,0.457,0.00234,0.0987,0.316,79.839,210141,5
Feel so good,Christine and the Queens,Chris,2oBwzEQoKltWYgY9sxyi6t,0.38,0.816,0.61,0,-6.11,1,0.0744,0.174,0.0,0.132,0.558,95.007,225227,4
Taganga,Bomba Estéreo,Ayo,6suwy7Q9BdzR9aEdALuKiF,0.42,0.707,0.833,0,-2.587,1,0.0831,0.202,0.0,0.664,0.944,80.021,165056,4
megapunk,Ela Minus,acts of rebellion,2EUZKvwewWl3FVxLcmkMl9,0.43,0.721,0.492,8,-10.032,1,0.04,0.0137,0.966,0.135,0.691,132.004,192483,4
Last Thoughts,Napkey,42,25BhGreO0SkfNewQs4PYQ6,0.46,0.722,0.74,1,-7.966,0,0.0682,0.2,2.35e-05,0.12,0.367,108.02,200000,4
To Climb the Cliff,Antena,Camino Del Sol,6XbEe9AUwSFLbpkkC0Tfbp,0.34,0.622,0.421,8,-12.929,1,0.0419,0.293,0.00108,0.309,0.477,109.302,223227,4
el cielo no es de nadie,Ela Minus,acts of rebellion,6ZJdW1sZg4zATn9EKih013,0.42,0.752,0.715,10,-8.383,0,0.0479,0.00178,0.777,0.467,0.419,128.029,261591,4
Miroir (Deux),Paradis,Recto Verso,1MVxcHKVGNkbdvf8w8WMcv,0.4,0.722,0.733,10,-10.107,0,0.0576,0.000988,0.145,0.193,0.16,123.022,217467,4
She Pretends,Isaac Delusion,Children of the Night / She Pretends,1HV15uI0UQkCXu3QuwWgGT,0.27,0.535,0.652,6,-7.316,1,0.0305,0.312,0.000562,0.454,0.427,120.078,243987,4
Paradis - Reprise,Paradis,Recto Verso,5lBfnEG91eQxmqeFw87w58,0.39,0.685,0.731,9,-11.53,1,0.0472,0.0691,0.657,0.0744,0.463,125.004,384453,4
Safari Disco Club,Yelle,Safari Disco Club,53YK1HzoWVzdgmMJTYjE8Y,0.38,0.736,0.645,5,-5.111,0,0.0383,0.0685,0.391,0.0572,0.922,120.002,214813,4
Amor y Porno,Fármacos,Reversiones en Casa,2x9MInZTJw5PjDTFl1fbwG,0.49,0.569,0.304,6,-11.409,1,0.033,0.117,0.665,0.0853,0.0699,151.959,315288,4
Azul Oro,Populous,Azulejos,18XhpMPsd4oeX6lQETPeaU,0.41,0.707,0.658,1,-6.967,1,0.336,0.101,0.00462,0.101,0.524,168.272,206896,4
Un million,Yelle,L'Ère du Verseau,4k9wBRVi3pG2QvA42BCvbp,0.39,0.763,0.599,0,-6.315,1,0.027,0.345,0.0177,0.0785,0.446,100.031,243581,4
L'Indien,Juliette Armanet,Petite Amie (Edition Délice),0H9Bj7W9jMMtmy1sy2ur4L,0.52,0.736,0.489,0,-8.257,1,0.0353,0.196,0.00385,0.127,0.34,129.997,211573,4
Mentía,Miranda!,Miranda Es Imposible!,37OFAZ00hyRo6o3tPE6IAU,0.58,0.704,0.72,11,-6.16,1,0.0539,0.00785,0.00239,0.115,0.942,132.014,215240,4
Nap,Agar Agar,Nap,4JFHAlZfL67UF1uotyCPfr,0.42,0.638,0.653,10,-10.282,0,0.0533,0.0433,0.816,0.102,0.65,123.016,327973,4
Que Veux-Tu - Madeon Remix,Yelle,Que Veux-Tu,6hHyb0frMAaHCcJIbdHVTP,0.29,0.598,0.802,11,-3.203,0,0.0379,0.00346,3.19e-05,0.192,0.214,124.953,238085,4
Química (Dance With Me) (feat. Balkan Beat Box),Bomba Estéreo,Ayo,3XFQtdzF61TVAFlHyWbnIN,0.43,0.757,0.831,9,-3.464,0,0.199,0.0448,0.000371,0.196,0.719,99.951,162489,4
Abysse,Polo & Pan,Caravelle,6dqXaJKdsHbcC4cosakPhN,0.37,0.543,0.497,7,-10.347,0,0.0325,0.721,0.657,0.101,0.0377,117.233,161587,4
